Visual Peripheral - Visual Peripheral,Visual Peripheral - Visual Central,Visual Peripheral - Somato-Motor A,Visual Peripheral - Somato-Motor B,Visual Peripheral - Dorsal Attention A,Visual Peripheral - Dorsal Attention B,Visual Peripheral - Ventral Attention,Visual Peripheral - Salience,Visual Peripheral - Limbic A,Visual Peripheral - Limbic B,Visual Peripheral - Control C,Visual Peripheral - Control A,Visual Peripheral - Control B,Visual Peripheral - Auditory,Visual Peripheral - Default Mode C,Visual Peripheral - Default Mode A,Visual Peripheral - Default Mode B,Visual Central - Visual Central,Visual Central - Somato-Motor A,Visual Central - Somato-Motor B,Visual Central - Dorsal Attention A,Visual Central - Dorsal Attention B,Visual Central - Ventral Attention,Visual Central - Salience,Visual Central - Limbic A,Visual Central - Limbic B,Visual Central - Control C,Visual Central - Control A,Visual Central - Control B,Visual Central - Auditory,Visual Central - Default Mode C,Visual Central - Default Mode A,Visual Central - Default Mode B,Somato-Motor A - Somato-Motor A,Somato-Motor A - Somato-Motor B,Somato-Motor A - Dorsal Attention A,Somato-Motor A - Dorsal Attention B,Somato-Motor A - Ventral Attention,Somato-Motor A - Salience,Somato-Motor A - Limbic A,Somato-Motor A - Limbic B,Somato-Motor A - Control C,Somato-Motor A - Control A,Somato-Motor A - Control B,Somato-Motor A - Auditory,Somato-Motor A - Default Mode C,Somato-Motor A - Default Mode A,Somato-Motor A - Default Mode B,Somato-Motor B - Somato-Motor B,Somato-Motor B - Dorsal Attention A,Somato-Motor B - Dorsal Attention B,Somato-Motor B - Ventral Attention,Somato-Motor B - Salience,Somato-Motor B - Limbic A,Somato-Motor B - Limbic B,Somato-Motor B - Control C,Somato-Motor B - Control A,Somato-Motor B - Control B,Somato-Motor B - Auditory,Somato-Motor B - Default Mode C,Somato-Motor B - Default Mode A,Somato-Motor B - Default Mode B,Dorsal Attention A - Dorsal Attention A,Dorsal Attention A - Dorsal Attention B,Dorsal Attention A - Ventral Attention,Dorsal Attention A - Salience,Dorsal Attention A - Limbic A,Dorsal Attention A - Limbic B,Dorsal Attention A - Control C,Dorsal Attention A - Control A,Dorsal Attention A - Control B,Dorsal Attention A - Auditory,Dorsal Attention A - Default Mode C,Dorsal Attention A - Default Mode A,Dorsal Attention A - Default Mode B,Dorsal Attention B - Dorsal Attention B,Dorsal Attention B - Ventral Attention,Dorsal Attention B - Salience,Dorsal Attention B - Limbic A,Dorsal Attention B - Limbic B,Dorsal Attention B - Control C,Dorsal Attention B - Control A,Dorsal Attention B - Control B,Dorsal Attention B - Auditory,Dorsal Attention B - Default Mode C,Dorsal Attention B - Default Mode A,Dorsal Attention B - Default Mode B,Ventral Attention - Ventral Attention,Ventral Attention - Salience,Ventral Attention - Limbic A,Ventral Attention - Limbic B,Ventral Attention - Control C,Ventral Attention - Control A,Ventral Attention - Control B,Ventral Attention - Auditory,Ventral Attention - Default Mode C,Ventral Attention - Default Mode A,Ventral Attention - Default Mode B,Salience - Salience,Salience - Limbic A,Salience - Limbic B,Salience - Control C,Salience - Control A,Salience - Control B,Salience - Auditory,Salience - Default Mode C,Salience - Default Mode A,Salience - Default Mode B,Limbic A - Limbic A,Limbic A - Limbic B,Limbic A - Control C,Limbic A - Control A,Limbic A - Control B,Limbic A - Auditory,Limbic A - Default Mode C,Limbic A - Default Mode A,Limbic A - Default Mode B,Limbic B - Limbic B,Limbic B - Control C,Limbic B - Control A,Limbic B - Control B,Limbic B - Auditory,Limbic B - Default Mode C,Limbic B - Default Mode A,Limbic B - Default Mode B,Control C - Control C,Control C - Control A,Control C - Control B,Control C - Auditory,Control C - Default Mode C,Control C - Default Mode A,Control C - Default Mode B,Control A - Control A,Control A - Control B,Control A - Auditory,Control A - Default Mode C,Control A - Default Mode A,Control A - Default Mode B,Control B - Control B,Control B - Auditory,Control B - Default Mode C,Control B - Default Mode A,Control B - Default Mode B,Auditory - Auditory,Auditory - Default Mode C,Auditory - Default Mode A,Auditory - Default Mode B,Default Mode C - Default Mode C,Default Mode C - Default Mode A,Default Mode C - Default Mode B,Default Mode A - Default Mode A,Default Mode A - Default Mode B,Default Mode B - Default Mode B
0.30707417,0.27491699,-0.23554473,-0.17247185,0.26342663,0.06390273,0.10598114,0.00617084,-0.05589758,-0.00641126,-0.18074651,0.11671014,-0.25557238,-0.22829026,-0.2979691,-0.34969895,-0.03994965,0.32597269,0.17252821,0.28533536,0.4364671,0.37794139,0.56894269,0.31544801,-0.0432777,-0.0688486,0.09088147,0.13386719,-0.45544817,0.29612686,-0.02457986,-0.48697656,-0.32528326,0.36490251,0.69099555,0.39783137,0.57299749,0.23178477,-0.08359386,0.06488769,-0.20407599,-0.27252008,-0.06365452,-0.37242956,0.5347102,0.00433753,-0.06278219,-0.07994788,0.29365123,0.33614965,0.49096027,0.44487658,0.02209378,0.12631344,-0.12053701,-0.23714545,0.00688224,-0.40494254,0.68818041,-0.00746899,-0.18696719,-0.10629064,0.34146467,0.7765647,0.45191155,0.10009662,0.0168004,-0.14485001,-0.17745251,0.32490459,-0.43275947,0.3167991,-0.12504803,-0.46952471,-0.23031367,0.41513625,0.69208421,0.2109226,-0.05618533,-0.20577541,-0.14868042,0.32632847,-0.52699856,0.41421666,-0.1973804,-0.50297416,-0.322188,0.34796614,0.60606392,-0.04397043,-0.14809771,0.0299547,0.33191415,-0.44382591,0.4883864,-0.32855483,-0.71915623,-0.28681879,0.3107263,-0.18710706,-0.16553042,0.1035509,0.28436691,0.18649466,0.34866292,-0.4401327,-0.56234625,0.0960623,0.10383472,0.28341962,-0.13058937,0.00873369,-0.16354529,0.25590433,0.11524569,0.12022037,0.33933678,0.11186503,-0.09144704,0.24063567,0.12792862,-0.2025311,0.02149755,0.19112121,0.27096394,0.30083971,0.05521829,0.23017118,-0.19029611,0.43704673,0.05771335,-0.3833898,0.28870312,0.27285314,-0.02942198,-0.20652685,-0.50245736,-0.10054391,0.31257814,-0.30390129,-0.05077666,0.15369916,0.2805879,0.33904729,-0.18975802,-0.23315505,0.26157684,0.32865257,0.53940003,-0.34995358,0.35288421,0.27609999,0.29472402
0.26367481,0.60625135,-0.10962966,0.02744874,0.47383368,0.16802008,0.36143409,0.24603248,-0.00558385,-0.25854323,-0.27372154,-0.11579297,-0.5421989,0.13839328,-0.51183561,-0.56798539,-0.28402864,0.347897,-0.08515698,-0.0126162,0.27197992,-0.00881236,0.12458587,0.04391093,-0.09588569,-0.22122218,-0.06679208,-0.0750074,-0.36353469,-0.08119668,-0.12095673,-0.26434263,-0.27900353,0.2655547,0.6977659,-0.02221732,0.16989019,-0.12556096,-0.33443622,-0.05590263,-0.05922711,-0.08466274,-0.21166301,-0.08143415,0.24210274,0.13451267,0.08621139,-0.02643064,0.18409583,-0.01769037,0.2570115,0.24697531,-0.01226161,-0.32641894,-0.23020015,0.10061186,-0.03790644,-0.18899664,0.0128354,-0.02146943,-0.11099862,-0.36310158,0.26337168,0.6737791,0.16854605,0.01179211,-0.02136554,-0.20891974,-0.08649555,0.29973623,-0.42742708,-0.09999742,-0.15636539,-0.42732971,-0.40292321,0.26858303,0.464948,0.26270758,-0.3061885,-0.41155627,-0.02174352,0.35286849,-0.35483956,-0.1330531,-0.34250253,-0.55688011,-0.42130501,0.30037442,0.72630837,-0.27966036,-0.46475519,0.12129984,0.23802867,-0.4854461,-0.06364606,-0.54572484,-0.69949119,-0.55650354,0.27125597,-0.23867772,-0.3888083,0.09251163,0.2219703,-0.28170777,-0.06599245,-0.56855963,-0.61496498,-0.22278673,0.09379847,0.3597901,-0.33492035,-0.14979501,-0.03762491,0.44382068,0.04974268,0.05051462,0.37379074,0.09737421,-0.09423715,-0.06075821,0.34596043,-0.10993839,0.34492829,0.44242606,0.24735366,0.31879488,0.20228363,0.14539789,-0.39280625,0.45559503,0.32244377,-0.43232196,0.31700318,0.31361505,-0.46301364,-0.08178148,-0.31528968,-0.47330167,0.32260521,-0.33285874,0.30976902,0.44144806,0.26730643,0.22061567,-0.20764311,-0.07030094,0.48214998,0.41297549,0.80251872,-0.02875065,0.42592892,0.32322492,0.38872005
0.38393404,0.38198553,0.12600269,0.03974613,0.27158388,-0.14385669,-0.10313202,-0.25522344,0.10385293,-0.04856075,-0.42597328,-0.38870267,-0.50810078,-0.03336126,-0.10538997,-0.18304017,-0.02194596,0.3267223,0.36417614,0.18376809,0.6270835,0.38467687,0.18290067,-0.12336558,-0.12712739,-0.28744342,-0.34290242,-0.19343297,-0.49505623,0.03832851,0.06987077,-0.37826355,-0.33418449,0.34075414,0.80449241,0.339831,0.49477776,0.22412768,-0.38783571,0.00663044,-0.27990541,-0.64258399,-0.27295832,-0.51926552,0.32262411,-0.25272104,-0.24599156,-0.06532523,0.25036833,0.16718746,0.36208891,0.33283952,-0.23820739,0.04517813,-0.0767172,-0.5756315,-0.16551728,-0.49568158,0.50651719,-0.29358694,-0.28417422,-0.08110195,0.34128802,0.78152985,0.49757422,0.07393928,-0.23459682,-0.44324256,-0.32082611,0.21265842,-0.46823734,0.07982526,-0.20260933,-0.64372645,-0.52401458,0.31631439,0.69858278,0.16588368,-0.22635818,-0.48333264,-0.26653399,0.27498901,-0.42242888,0.18487876,-0.25477891,-0.62914971,-0.49556323,0.20838071,0.50894015,-0.23179144,-0.41385912,-0.18036541,0.27706449,-0.40665942,0.23005912,-0.49261096,-0.80232477,-0.62799794,0.2464914,-0.36859648,-0.12085603,0.37265587,0.31617244,0.11967541,0.04239626,-0.24821587,-0.41326917,-0.36750308,0.07939889,0.18853548,-0.28466825,-0.33947178,-0.02268054,0.30950855,0.04031856,0.32857834,0.55717933,0.08163042,0.13854129,0.01807716,0.20729168,-0.03746832,0.26137724,0.32453701,0.34397673,0.26790043,0.25038009,0.5335059,-0.41404886,0.39361754,0.3405766,-0.14984199,0.27348629,0.44488971,-0.07834839,-0.04333626,-0.33427502,-0.38837096,0.29691259,-0.21347814,0.17776324,0.45415992,0.24762844,0.21603165,-0.23676244,-0.18223053,0.30938229,0.21071242,0.50896913,0.09820299,0.28680207,0.63609543,0.27334389
0.3704361,0.64500493,0.17051022,0.19722094,0.60674763,0.12368045,0.02831221,-0.33672204,0.13686091,-0.05077439,-0.34215066,-0.02757627,-0.48205578,0.16372131,0.20674098,-0.42653699,-0.15097813,0.37914742,0.20648195,0.2467916,0.4284453,0.19230728,0.09166544,-0.28269449,0.05502317,-0.07795863,-0.25554475,-0.05079045,-0.36457303,0.03996831,0.33175293,-0.3971744,-0.19999781,0.27465572,0.53136448,-0.21425607,0.18962029,0.19505616,-0.45190161,0.33133548,-0.08953565,-0.49047963,-0.48431612,-0.4359004,0.27332664,-0.12449681,-0.20847693,-0.00483898,0.2877285,-0.00931873,0.22775833,0.44339775,-0.31997163,0.05052737,-0.09625438,-0.19415974,-0.29976031,-0.46279944,0.00914082,0.12374921,-0.15571801,-0.20604158,0.44738357,0.48746859,0.21956154,-0.00884352,0.01827435,-0.10311655,0.08031023,0.52714542,-0.29773594,-0.11891365,0.36906493,-0.45236664,-0.3937714,0.41187487,0.76093197,0.14762332,-0.14633836,-0.25847802,0.14049731,0.10156998,-0.45680816,-0.29587754,0.14610672,-0.43123468,-0.61606605,0.31221833,0.3575334,-0.19951883,-0.36294665,0.169286,-0.05742755,-0.53167566,-0.13258614,0.09228408,-0.44383025,-0.70075443,0.2945391,-0.42813175,-0.24342849,0.57049222,0.23936134,0.12431174,-0.10877559,-0.14749638,-0.1190875,-0.38987777,0.10716436,0.08861889,-0.47073555,-0.14146599,-0.27800356,0.60892039,0.06128267,-0.03916597,0.3268833,0.08053145,0.04901641,0.0081382,0.32254906,-0.15716781,0.08070095,0.37816065,0.3401754,0.32896435,0.36323526,0.42048929,-0.48486218,0.28971843,0.36802586,-0.36877913,0.34300281,0.35699071,-0.18515839,0.25090468,-0.20072158,-0.34747926,0.42313194,-0.298127,0.05683982,0.61162174,0.27841935,0.29470312,-0.13053553,-0.20162962,0.25334486,0.21774206,0.22805783,-0.21163978,0.31768718,0.51729758,0.40936661
0.38683318,0.40108068,0.077446,0.07698807,0.54951039,-0.17395068,-0.07273298,-0.14478945,-0.07374696,-0.13161771,-0.23178871,-0.17042066,-0.29233344,-0.02592951,-0.16785572,-0.14805751,-0.06696895,0.34484517,-0.04401444,0.37187206,0.23032871,0.10850419,0.45718084,0.24725398,-0.19263724,0.02028552,-0.00359741,-0.19727582,-0.39372789,0.17690427,-0.07796859,-0.3975501,-0.3814554,0.27774937,0.69054795,0.01067589,0.24213968,0.06125515,-0.15363243,-0.09335497,0.04313285,-0.37005547,-0.40272386,-0.3949173,-0.12204684,-0.19615984,-0.04242941,-0.10842667,0.29398183,0.06479191,0.43841089,0.57029551,0.22540413,-0.23594685,0.10425246,-0.30435493,-0.27438646,-0.48118795,-0.03339106,-0.34201471,-0.43870614,-0.47233642,0.35574985,0.41531213,0.18069307,-0.08886771,0.22267175,0.0423474,-0.21619207,0.46469606,-0.42746212,-0.21539367,-0.11223519,-0.41883294,-0.38480449,0.31660008,0.71501259,0.46771539,-0.076871,0.1422981,-0.252495,0.47058774,-0.30248439,-0.13483146,-0.45565874,-0.7351417,-0.62157181,0.37427069,0.73008601,-0.15693325,0.21666664,-0.16352138,0.18966517,-0.37970159,0.1181643,-0.53268266,-0.83718238,-0.64013988,0.2751768,-0.35207037,0.04730471,0.12704342,0.19397834,0.08844772,0.13168207,-0.56340547,-0.66262493,-0.50308199,0.11797376,0.24892144,-0.14458801,0.04772052,-0.15832436,0.22076536,0.16695636,0.15089189,0.37869555,0.08942867,-0.2273352,-0.03876449,-0.2860209,0.05437342,-0.13507849,-0.11249555,0.10042312,0.32164608,0.08951655,0.41801159,0.01332542,0.38219956,0.2981863,-0.13598857,0.36428111,0.22196774,-0.22161976,-0.13577735,-0.38178449,-0.34657831,0.36336598,0.13286847,0.03683341,0.25417024,0.3573595,0.26362833,-0.24666839,-0.16203789,0.37614591,0.33870695,0.71727687,0.16959659,0.37860308,0.5963002,0.3760849
0.66217715,0.23874115,-0.23982738,-0.23206464,0.65687015,0.01439517,-0.34759485,-0.20326692,0.11962452,-0.25290261,-0.27005538,0.05168452,-0.29202859,0.13711669,-0.05800777,-0.43876741,-0.07061732,0.53556771,0.25136506,0.14646555,0.09188508,0.01072248,-0.08853834,-0.35487072,-0.08116786,-0.36550996,-0.22874826,-0.38092691,-0.52165571,0.04707795,-0.01420335,-0.38196736,-0.2310761,0.50789298,0.59019709,-0.13433894,0.40209515,0.07214089,-0.46319743,0.11406635,-0.10345079,-0.45591456,-0.30251811,-0.38658288,0.07099058,-0.17655224,-0.09047118,0.04444657,0.3189151,-0.26207603,0.112192,0.3041865,-0.16964016,0.09936063,-0.10948424,-0.35704972,-0.2980833,-0.30410868,0.27404093,-0.22610047,-0.09499538,0.17221382,0.47468088,0.4956968,-0.23608905,-0.13984501,0.20723032,-0.2595466,-0.17376469,0.38689476,-0.23916332,0.0573398,0.01329016,-0.40192516,-0.16646115,0.39918515,0.17561253,-0.12755227,0.11665525,-0.24839754,-0.36471559,0.30803027,-0.19423692,0.06719138,-0.27457232,-0.22302024,0.04856006,0.26185465,0.65508145,-0.2381108,-0.11053174,0.0578759,0.17559238,-0.197512,-0.0719457,-0.36339602,-0.35962088,-0.16873932,0.30287345,-0.34977842,0.11833178,0.40300187,0.46997899,0.21479357,-0.07430969,-0.23264618,-0.24303628,-0.12111182,0.10879483,-0.05676981,-0.45213772,-0.14890605,-0.19457566,0.23441532,0.06759518,0.10283655,0.41542342,0.07668743,0.25059342,0.10836324,0.45910414,-0.09744336,0.13625288,0.32461912,0.07597627,0.3434027,0.18958586,0.42413597,-0.29963518,0.40341781,0.32542674,-0.38334851,0.43046567,0.35537573,-0.10007318,0.01632251,-0.26591658,-0.27029151,0.31279141,-0.1618621,0.17923553,0.514935,0.07714876,0.38979211,0.00183744,-0.13863475,0.66696058,0.36555666,0.40183115,-0.17561619,0.32269305,0.27566449,0.3252822
0.37051769,0.64464305,0.20843751,0.25038894,0.55923788,0.09615251,0.21270162,0.09476385,-0.03131097,0.06171441,-0.06318238,-0.19099793,-0.36236284,0.28597109,-0.39512618,-0.45868863,-0.20524528,0.30680618,0.26227419,0.31274219,0.51818483,0.10421855,0.29701304,0.12527424,-0.04592258,-0.03116011,0.14820595,0.08723039,-0.24218898,0.22629306,-0.13683489,-0.37384752,-0.33689373,0.39942161,0.69580453,0.38967825,0.48804313,0.3657039,-0.23214929,0.21181227,0.04629192,-0.28961305,-0.16156483,-0.52442648,0.35171191,0.0786297,-0.27046131,-0.27476807,0.31118483,0.38870338,0.32171878,0.56049803,0.03648871,0.22522853,0.1030209,-0.20416739,-0.00195117,-0.40232895,0.60513298,-0.01773456,-0.39350575,-0.26187353,0.26816105,0.74655744,0.51679529,0.24048985,0.11196393,-0.03700722,-0.00325496,0.2410365,-0.53672949,0.40559014,-0.16404917,-0.65390461,-0.46570144,0.36272175,0.47970183,0.16022816,0.08692373,-0.13142586,-0.10433044,0.28600363,-0.48871539,0.26275464,-0.08673961,-0.5317389,-0.42645867,0.3284576,0.60931721,-0.03654879,0.03586244,0.02756479,0.29603102,-0.4093156,0.4778047,-0.29881369,-0.70603805,-0.46026489,0.24216834,-0.20455582,0.04607477,0.35012779,0.45151429,0.12040622,0.23918636,-0.43686487,-0.55988214,-0.28480479,0.07552338,0.1223661,-0.220264,-0.18687861,-0.36881282,0.3779116,0.24833327,0.08637019,0.19997386,0.06714418,-0.03144336,-0.02717203,0.06831677,0.03351746,-0.01257149,-0.01347898,0.04773959,0.25501932,0.43258212,0.4075517,-0.21390208,0.10168798,0.05703376,-0.29063515,0.32362338,0.39968968,-0.19612846,-0.06126928,-0.40490709,-0.648149,0.38909442,-0.55334491,0.07172999,0.33030643,-0.02961,0.28035311,-0.12954866,-0.4215247,0.12373613,0.23092164,0.52144748,0.12096682,0.32376659,0.58723903,0.32263567
0.38223959,0.54577902,-0.05091873,0.03969707,0.56251704,0.24110038,0.1881341,0.28342651,-0.40850907,-0.37396226,-0.1528102,-0.16837841,-0.43831284,-0.1425694,-0.44478159,-0.49416982,-0.36295106,0.36424072,-0.1215598,0.1025976,0.49636744,0.27745293,0.35653138,0.37780509,-0.56643136,-0.48294863,0.00683738,-0.18035842,-0.47891938,-0.04650601,-0.22829671,-0.480015,-0.4832399,0.27616234,0.57062691,-0.01417397,0.29631323,0.38100183,-0.09289923,0.07911273,-0.15208437,-0.45056598,-0.16097099,-0.40111018,-0.02597996,-0.39535606,-0.34119131,-0.11677315,0.23558591,-0.06992607,0.09864536,0.46507215,0.03859967,-0.1757619,-0.02981515,-0.35912932,-0.14340388,-0.36216029,0.09038315,-0.55381718,-0.40858231,-0.21587422,0.40404436,0.77593136,0.47977917,0.30787531,-0.32870893,-0.54000545,0.00795128,0.18951801,-0.58140235,-0.09746096,-0.25249961,-0.69296288,-0.60707505,0.33254663,0.72004235,0.3281125,-0.24015139,-0.43030828,-0.01802348,0.04045296,-0.63196603,-0.23592467,-0.29790792,-0.70893387,-0.63715386,0.30266851,0.56460978,-0.48506039,-0.41066876,-0.07859122,-0.11025868,-0.63914904,-0.04405538,-0.52168376,-0.75206251,-0.66234643,0.22961001,-0.56031196,-0.45288845,0.21468556,-0.07999489,-0.19350842,0.09741355,-0.25257407,-0.48503418,-0.52073587,0.09951509,0.36092172,-0.24611014,0.03173331,0.24276907,0.10684934,0.33676668,0.4767576,0.7139575,0.09803949,0.05572433,0.09302716,0.3848236,-0.03027505,0.19244661,0.5145478,0.38929582,0.31403246,0.0573881,0.28743261,0.01051179,0.42970066,0.25985981,-0.24949273,0.32504635,0.42607531,-0.02471269,0.02644672,-0.10603027,-0.18821275,0.34590502,0.03469372,0.35730532,0.60712393,0.41740449,0.23213385,-0.02511816,-0.01603037,0.29487043,0.24226965,0.69047768,0.36271785,0.36096653,0.69399351,0.33216521
0.21453111,0.05387148,-0.12231161,-0.19115761,0.43382372,0.02304702,0.08032758,0.02969556,0.01807395,-0.26128144,-0.09979801,-0.13180456,-0.27252919,-0.01076589,-0.13778344,-0.19141881,-0.15718472,0.21101185,-0.07328972,0.52707516,0.19868736,0.5252522,-0.20223399,0.02473809,0.64771195,0.11884869,-0.4991843,0.00721252,-0.41793034,0.25082106,-0.32771927,-0.18865292,0.38296749,0.23420503,0.35885577,0.11234326,-0.22895392,0.30870291,-0.52294183,-0.50104498,0.114753,0.01327448,-0.26266645,-0.28962696,0.21624177,0.66964415,0.36829546,-0.50613338,0.13760538,-0.10952899,0.21690016,0.19941137,-0.0253124,0.26970304,0.22966725,-0.44925316,-0.16683615,-0.41273443,0.39017618,-0.05992838,-0.10608916,0.05667487,0.20072457,0.57467408,0.02922788,-0.00994626,0.21950412,-0.02945834,-0.24490724,0.36181209,-0.41584953,0.24607442,-0.09563941,-0.3984869,-0.09498906,0.22409281,-0.18382789,0.2953002,0.66548495,0.16622452,-0.36239633,0.55620176,-0.37301585,0.27472846,-0.5242196,-0.5634426,0.37161294,0.13006554,0.3765675,-0.42371965,-0.27110669,0.1516528,-0.21679359,-0.20320173,0.07950442,0.06942031,-0.37219768,-0.60214679,0.16096323,0.23650492,-0.00392888,0.11020896,0.23094833,0.0283187,-0.02143153,-0.55621985,-0.71486421,0.2048638,0.10683921,0.19685163,-0.56861997,0.26516112,-0.24635319,0.29794585,-0.5893236,-0.3854547,0.66842079,0.07050608,-0.04725435,0.22858591,-0.16166528,0.05245843,0.14641921,0.06852055,0.24989537,0.159891,-0.00693225,0.51615011,-0.43958565,0.34134338,0.2539688,-0.23666162,0.18670828,0.19562522,-0.03247379,-0.32541476,-0.36214676,0.28919096,0.141731,-0.41188626,0.01587668,0.28196918,0.18399484,0.12329616,0.00213419,-0.18467882,0.20787623,0.19249757,0.71335848,-0.38389502,0.22057886,-0.04291923,0.16942324
0.37592138,0.46477633,0.009957,-0.15650163,0.32976513,-0.12792309,-0.2285918,-0.06167429,-0.04722044,0.05400443,-0.0732074,-0.26184951,-0.34441251,-0.30336273,-0.04650734,-0.20070861,-0.30919602,0.33599997,0.16142862,0.09667551,0.53387701,0.21959706,-0.02968028,-0.1794877,-0.03797719,-0.22028996,-0.07378899,-0.24222809,-0.50337903,-0.07471939,0.20027595,-0.23064775,-0.35932979,0.41006635,0.75244701,0.21500445,0.58068495,0.19299088,-0.45496404,-0.21969729,-0.44795579,-0.58969129,-0.36216935,-0.60184689,0.18084464,-0.20230347,-0.26518657,-0.20960207,0.34890923,0.0195339,0.43871816,0.32157248,-0.3723249,-0.05822937,-0.27236696,-0.40705384,-0.34015833,-0.54626317,0.37392224,-0.17171263,-0.16824019,-0.14963074,0.37312104,0.59132965,0.13769541,-0.03878026,-0.01266657,-0.08369141,-0.18426995,0.18598431,-0.47354757,0.06335795,0.23293202,-0.43000136,-0.40337354,0.38934386,0.63697139,0.02865665,-0.18676924,-0.36144063,-0.36192027,0.22036945,-0.50283532,0.25314451,-0.10923524,-0.55517463,-0.43248449,0.2556123,0.52633496,-0.13399172,-0.27590811,-0.06592757,0.42811387,-0.2163762,0.25901719,-0.27842662,-0.6557562,-0.45622969,0.24435175,-0.11786643,0.03906441,0.22538059,0.5819377,0.31137045,0.03475513,-0.20050952,-0.42316103,-0.20914479,0.09137493,0.4428619,-0.11031916,-0.14676489,-0.07802408,0.26082006,0.23570692,0.21958552,0.43565366,0.09226548,0.03425734,0.0168876,0.27103999,0.14003049,0.09669697,0.33936754,0.42236048,0.3192557,0.36546676,0.49335735,-0.38970168,0.26826343,0.30243612,-0.21644122,0.38743629,0.44496679,0.0640357,0.06637367,-0.42219426,-0.33642092,0.40032176,-0.14387348,-0.13021822,0.33791197,0.35240872,0.29903883,0.07455913,-0.11229483,0.17146359,0.24632516,0.2950637,-0.08813295,0.37078349,0.54388281,0.35560846
